IDN5,NM5,IDN4,NM4,IDN3,NM3,IDN2,NM2,NUTS3,NUTS3_CODE,LAU1,LAU1_CODE,LAU2,LAU2_CODE,x,y,x_long,y_lat
819671,Brusno,508675,Brusno,601,Banská Bystrica,6,Banskobystrický,Banskobystrický kraj,SK032,Banská Bystrica,SK0321,Brusno,SK0321508675,-400533.373840297,-1220177.14547167,19.3715542555959,48.8216162792655
819701,Čajakovo,502324,Hronovce,402,Levice,4,Nitriansky,Nitriansky kraj,SK023,Levice,SK0232,Hronovce,SK0232502324,-460831.598246936,-1308226.49965386,18.6497715141083,47.9908058978133
819719,Domaša,502324,Hronovce,402,Levice,4,Nitriansky,Nitriansky kraj,SK023,Levice,SK0232,Hronovce,SK0232502324,-462138.827443559,-1306923.33236407,18.6309015441308,48.0015379882021
819735,Vozokany nad Hronom,502324,Hronovce,402,Levice,4,Nitriansky,Nitriansky kraj,SK023,Levice,SK0232,Hronovce,SK0232502324,-460593.12876167,-1305185.77526555,18.6496692133175,48.0182374343105
819743,Hronsek,580236,Hronsek,601,Banská Bystrica,6,Banskobystrický,Banskobystrický kraj,SK032,Banská Bystrica,SK0321,Hronsek,SK0321580236,-416450.966113095,-1237691.2433939,19.1729774475612,48.6541325649091
819760,Hronská Breznica,518476,Hronská Breznica,611,Zvolen,6,Banskobystrický,Banskobystrický kraj,SK032,Zvolen,SK032B,Hronská Breznica,SK032B518476,-430267.795131628,-1247687.52622272,18.9963048124182,48.555161352445
819786,Hronská Dúbrava,516821,Hronská Dúbrava,613,Žiar nad Hronom,6,Banskobystrický,Banskobystrický kraj,SK032,Žiar nad Hronom,SK032D,Hronská Dúbrava,SK032D516821,-430131.692968605,-1244217.52415256,18.9945615469904,48.5863718211818
819794,Hronské Kľačany,502332,Hronské Kľačany,402,Levice,4,Nitriansky,Nitriansky kraj,SK023,Levice,SK0232,Hronské Kľačany,SK0232502332,-464030.974097422,-1280335.18581485,18.5765392097335,48.2384905829782
819808,Hronské Kosihy,502341,Hronské Kosihy,402,Levice,4,Nitriansky,Nitriansky kraj,SK023,Levice,SK0232,Hronské Kosihy,SK0232502341,-462762.707026973,-1277178.04640458,18.5900940367426,48.267721000537
819816,Hronský Beňadik,516830,Hronský Beňadik,612,Žarnovica,6,Banskobystrický,Banskobystrický kraj,SK032,Žarnovica,SK032C,Hronský Beňadik,SK032C516830,-464165.26833538,-1268075.13462277,18.5612253880703,48.3482868051044
819824,Hrubá Borša,503797,Hrubá Borša,108,Senec,1,Bratislavský,Bratislavský kraj,SK010,Senec,SK0108,Hrubá Borša,SK0108503797,-545757.64129963,-1279862.98223914,17.4806884042688,48.1774339973184
819832,Suľany,500313,Hruboňovo,403,Nitra,4,Nitriansky,Nitriansky kraj,SK023,Nitra,SK0233,Hruboňovo,SK0233500313,-502796.827349323,-1254499.55903542,18.0257804277453,48.4402755279715
819841,Výčapky,500313,Hruboňovo,403,Nitra,4,Nitriansky,Nitriansky kraj,SK023,Nitra,SK0233,Hruboňovo,SK0233500313,-502627.529718023,-1252970.55785778,18.0262230364847,48.4541075304669
819859,Hrubov,520233,Hrubov,702,Humenné,7,Prešovský,Prešovský kraj,SK041,Humenné,SK0412,Hrubov,SK0412520233,-216228.205191151,-1200044.81267865,21.869600384125,49.0934951271602
819867,Hrubý Šúr,503801,Hrubý Šúr,108,Senec,1,Bratislavský,Bratislavský kraj,SK010,Senec,SK0108,Hrubý Šúr,SK0108503801,-550971.439694288,-1280385.6959303,17.411591838385,48.1682330677828
819883,Hrušov,516040,Hrušov,610,Veľký Krtíš,6,Banskobystrický,Banskobystrický kraj,SK032,Veľký Krtíš,SK032A,Hrušov,SK032A516040,-426735.003241114,-1291129.11813277,19.0881539024059,48.1679765421932
819972,Hrušov,525758,Hrušov,808,Rožňava,8,Košický,Košický kraj,SK042,Rožňava,SK0428,Hrušov,SK0428525758,-310329.408186214,-1252001.52749758,20.622072785913,48.5871554564774
819981,Hrušovany,542971,Hrušovany,406,Topoľčany,4,Nitriansky,Nitriansky kraj,SK023,Topoľčany,SK0236,Hrušovany,SK0236542971,-498215.442170706,-1255047.18762273,18.0881172819735,48.4390140494636
819999,Hrušovo,514926,Hrušovo,609,Rimavská Sobota,6,Banskobystrický,Banskobystrický kraj,SK032,Rimavská Sobota,SK0329,Hrušovo,SK0329514926,-353103.089879868,-1256636.90453785,20.0472714672206,48.5229619157562
820008,Ostrany,514926,Hrušovo,609,Rimavská Sobota,6,Banskobystrický,Banskobystrický kraj,SK032,Rimavská Sobota,SK0329,Hrušovo,SK0329514926,-353369.976676412,-1259641.77932142,20.0462054295654,48.4958397369896
820016,Striežovce,514926,Hrušovo,609,Rimavská Sobota,6,Banskobystrický,Banskobystrický kraj,SK032,Rimavská Sobota,SK0329,Hrušovo,SK0329514926,-354601.484095397,-1255825.37260105,20.0263356400749,48.529402991666
820024,Hruštín,509680,Hruštín,507,Námestovo,5,Žilinský,Žilinský kraj,SK031,Námestovo,SK0317,Hruštín,SK0317509680,-401424.158532787,-1164838.9344008,19.3050902653955,49.3173971228668
820032,Hubice,501620,Hubice,201,Dunajská Streda,2,Trnavský,Trnavský kraj,SK021,Dunajská Streda,SK0211,Hubice,SK0211501620,-552725.925182492,-1288303.20198285,17.3984477490014,48.0958338922507
820041,Hubina,556581,Hubina,204,Piešťany,2,Trnavský,Trnavský kraj,SK021,Piešťany,SK0214,Hubina,SK0214556581,-508481.472559431,-1235319.6226998,17.9258739740757,48.6074999008711
820059,Hubošovce,524492,Hubošovce,708,Sabinov,7,Prešovský,Prešovský kraj,SK041,Sabinov,SK0418,Hubošovce,SK0418524492,-264557.052730829,-1197487.46189059,21.2069325856882,49.0977995871189
820075,Hubová,510441,Hubová,508,Ružomberok,5,Žilinský,Žilinský kraj,SK031,Ružomberok,SK0318,Hubová,SK0318510441,-411201.081187378,-1188372.77676152,19.1947910258248,49.0999311994344
820083,Hubovo,514934,Hubovo,609,Rimavská Sobota,6,Banskobystrický,Banskobystrický kraj,SK032,Rimavská Sobota,SK0329,Hubovo,SK0329514934,-328948.867075336,-1271763.33461106,20.3856303330468,48.400247777841
820091,Hucín,525766,Hucín,608,Revúca,6,Banskobystrický,Banskobystrický kraj,SK032,Revúca,SK0328,Hucín,SK0328525766,-333713.926441612,-1252899.35691294,20.3063373290815,48.5671077248323
820105,Hudcovce,520241,Hudcovce,702,Humenné,7,Prešovský,Prešovský kraj,SK041,Humenné,SK0412,Hudcovce,SK0412520241,-222643.472630165,-1220000.16610643,21.7926627885397,48.9119281347408
820113,Hul,503193,Hul,404,Nové Zámky,4,Nitriansky,Nitriansky kraj,SK023,Nové Zámky,SK0234,Hul,SK0234503193,-487243.81219472,-1293691.39303951,18.2805434299501,48.1013383223376
820121,Humenné,520004,Humenné,702,Humenné,7,Prešovský,Prešovský kraj,SK041,Humenné,SK0412,Humenné,SK0412520004,-214189.860432625,-1217319.69746093,21.9065168429717,48.938972066091
820369,Humenský Rokytov,520250,Rokytov pri Humennom,702,Humenné,7,Prešovský,Prešovský kraj,SK041,Humenné,SK0412,Rokytov pri Humennom,SK0412520250,-205538.543531073,-1198467.03994476,22.0150746926183,49.1112955603613
820385,Huncovce,523526,Huncovce,703,Kežmarok,7,Prešovský,Prešovský kraj,SK041,Kežmarok,SK0413,Huncovce,SK0413523526,-325213.36243392,-1191074.2615303,20.3725883360359,49.1266286663766
820393,Hunkovce,527327,Hunkovce,712,Svidník,7,Prešovský,Prešovský kraj,SK041,Svidník,SK041C,Hunkovce,SK041C527327,-230822.346815526,-1169383.68880703,21.6525331416696,49.3637117642114
820407,Hurbanova Ves,503819,Hurbanova Ves,108,Senec,1,Bratislavský,Bratislavský kraj,SK010,Senec,SK0108,Hurbanova Ves,SK0108503819,-548676.536598454,-1281954.84951387,17.4443358785921,48.1561824798068
820423,Hurbanovo,501140,Hurbanovo,401,Komárno,4,Nitriansky,Nitriansky kraj,SK023,Komárno,SK0231,Hurbanovo,SK0231501140,-497142.552281968,-1320263.97439807,18.1791173469094,47.8555740383725
820482,Husák,522490,Husák,809,Sobrance,8,Košický,Košický kraj,SK042,Sobrance,SK0429,Husák,SK0429522490,-187027.166687788,-1245701.3301299,22.2899485643956,48.6926140442608
820491,Husiná,514942,Husiná,609,Rimavská Sobota,6,Banskobystrický,Banskobystrický kraj,SK032,Rimavská Sobota,SK0329,Husiná,SK0329514942,-365538.053647134,-1276792.20395685,19.896835056863,48.3349606262617
820539,Hutka,519278,Hutka,701,Bardejov,7,Prešovský,Prešovský kraj,SK041,Bardejov,SK0411,Hutka,SK0411519278,-246969.76057507,-1164649.14410036,21.4275663613564,49.4000082823406
820547,Bočiar,559831,Bočiar,806,Košice - okolie,8,Košický,Košický kraj,SK042,Košice - okolie,SK0426,Bočiar,SK0426559831,-265088.913525052,-1253721.0859308,21.2357838728979,48.5924301590073
820555,Sokoľany,559865,Sokoľany,806,Košice - okolie,8,Košický,Košický kraj,SK042,Košice - okolie,SK0426,Sokoľany,SK0426559865,-264973.327208776,-1251722.40157348,21.2360779899802,48.6104346392804
820563,Huty,510459,Huty,505,Liptovský Mikuláš,5,Žilinský,Žilinský kraj,SK031,Liptovský Mikuláš,SK0315,Huty,SK0315510459,-382827.207204341,-1177054.14685079,19.5718168915477,49.2195986445848
820571,Hviezdoslavov,501638,Hviezdoslavov,201,Dunajská Streda,2,Trnavský,Trnavský kraj,SK021,Dunajská Streda,SK0211,Hviezdoslavov,SK0211501638,-556167.959245962,-1290722.7602486,17.3556304164881,48.0711642934971
820598,Hvozdnica,517623,Hvozdnica,501,Bytča,5,Žilinský,Žilinský kraj,SK031,Bytča,SK0311,Hvozdnica,SK0311517623,-462127.966250741,-1172349.31561805,18.4815376928144,49.2077507782211
820610,Hybe,510467,Hybe,505,Liptovský Mikuláš,5,Žilinský,Žilinský kraj,SK031,Liptovský Mikuláš,SK0315,Hybe,SK0315510467,-363732.862941596,-1196335.45826314,19.8505915061235,49.0580740943406
820636,Hýľov,521469,Hýľov,806,Košice - okolie,8,Košický,Košický kraj,SK042,Košice - okolie,SK0426,Hýľov,SK0426521469,-275703.871803137,-1237586.52745398,21.0813395569794,48.7327940430924
820644,Chanava,514951,Chanava,609,Rimavská Sobota,6,Banskobystrický,Banskobystrický kraj,SK032,Rimavská Sobota,SK0329,Chanava,SK0329514951,-335996.317753212,-1278689.11462603,20.2961466064983,48.334349886443
820661,Chľaba,503207,Chľaba,404,Nové Zámky,4,Nitriansky,Nitriansky kraj,SK023,Nové Zámky,SK0234,Chľaba,SK0234503207,-450140.622631964,-1326604.04558584,18.8119109591893,47.8337023445903
820679,Chlebnice,509698,Chlebnice,503,Dolný Kubín,5,Žilinský,Žilinský kraj,SK031,Dolný Kubín,SK0313,Chlebnice,SK0313509698,-389178.090034825,-1176127.90635908,19.4839572928657,49.2239551004472
820687,Chlmec,520268,Chlmec,702,Humenné,7,Prešovský,Prešovský kraj,SK041,Humenné,SK0412,Chlmec,SK0412520268,-211881.414223732,-1223571.07785998,21.9412237753851,48.8835836474629
820695,Chmeľnica,526754,Chmeľnica,710,Stará Ľubovňa,7,Prešovský,Prešovský kraj,SK041,Stará Ľubovňa,SK041A,Chmeľnica,SK041A526754,-297837.851703993,-1174527.44052457,20.7350346412649,49.2889238572923
820709,Chmeľov,524506,Chmeľov,707,Prešov,7,Prešovský,Prešovský kraj,SK041,Prešov,SK0417,Chmeľov,SK0417524506,-248043.084549714,-1201612.61677151,21.435351589594,49.0675442766668
820725,Chmeľová,519286,Chmeľová,701,Bardejov,7,Prešovský,Prešovský kraj,SK041,Bardejov,SK0411,Chmeľová,SK0411519286,-256435.928918216,-1164076.10039304,21.2969294887499,49.4013051090028
820733,Chmeľovec,524514,Chmeľovec,707,Prešov,7,Prešovský,Prešovský kraj,SK041,Prešov,SK0417,Chmeľovec,SK0417524514,-252694.023357449,-1199242.58516199,21.3703015489353,49.0869641011344
820750,Chmiňany,524549,Chmiňany,707,Prešov,7,Prešovský,Prešovský kraj,SK041,Prešov,SK0417,Chmiňany,SK0417524549,-275333.017533831,-1207853.48626177,21.0665184086401,49.0000219611957
820776,Chminianska Nová Ves,524522,Chminianska Nová Ves,707,Prešov,7,Prešovský,Prešovský kraj,SK041,Prešov,SK0417,Chminianska Nová Ves,SK0417524522,-275229.910478595,-1205860.1523778,21.0665877490605,49.0179710204301
820784,Chminianske Jakubovany,524531,Chminianske Jakubovany,707,Prešov,7,Prešovský,Prešovský kraj,SK041,Prešov,SK0417,Chminianske Jakubovany,SK0417524531,-279911.160999694,-1208356.80814513,21.004369334591,48.9934622078028
820792,Choča,500321,Choča,407,Zlaté Moravce,4,Nitriansky,Nitriansky kraj,SK023,Zlaté Moravce,SK0237,Choča,SK0237500321,-481526.808120582,-1265920.48091282,18.325356260798,48.3545736418879
